Project: 8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description: VIP Liner Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase MINT Total,3079,374519,605506,3870,236776,40.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236776,3079,137743,Total Phase MINT
,,Phase MINT Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,230987,38.15,368730,60.9,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: MONO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,MONO
,ENG   ,0,0,0,0,4,190,47.5,,,,,,,,,,,,,,,,,,,,,,0,190,0,-190,ENG   
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase MONO Total,0,0,0,4,190,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,-190,Total Phase MONO
,,Phase MONO Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,0,,-190,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: WBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,WBAL
,ENG   ,0,0,0,0,119,7683,64.56,,,,,,,,,,,,,,,,,,,,,,0,7683,0,-7683,ENG   
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase WBAL Total,0,0,0,119,7683,64.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7683,0,-7683,Total Phase WBAL
,,Phase WBAL Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,0,,-7683,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Summary,,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========
,,Project 7398 Total,23176,2855209,3909875,25117,1600087,39.28,403,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1600511,23148,1254698,Total Project 7398
,,Project 7398 Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,1054666,26.97,2309788,59.08,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx
xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========
,,GRAND TOTAL,25447,3169133,4280451,28098,1769054,37.02,553,271,514,500,500,500,500,500,364.2,728.4,1092.6,1456.8,1638.9,1821,3642,5463,7284,9105,12747,3642,150,2890,1822026.9,22557,1347106.1,GRAND TOTAL
